,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
512,y163,10,49.1123991,1,Infubinol,Female,17,27
513,e213,10,47.3915712,2,Naftisol,Male,8,27
514,a251,10,48.59117901,1,Infubinol,Female,21,25
515,p387,10,53.36296294,0,Stelasyn,Male,3,30
516,v923,10,39.84822328,0,Capomulin,Female,19,21
517,x111,10,49.12296898,1,Propriva,Female,24,27
518,a577,10,49.5096389,1,Infubinol,Female,6,25
519,g288,10,46.30400254,1,Capomulin,Male,3,19
520,v603,10,47.8305568,0,Ketapril,Female,22,30
521,c139,10,49.99295391,0,Infubinol,Male,11,28
522,j296,10,48.52997762,2,Ceftamin,Female,24,30
523,o331,10,50.12845481,1,Ketapril,Male,24,30
524,b759,10,49.13335499,0,Ceftamin,Female,12,25
525,l490,10,47.25960594,1,Ceftamin,Male,24,26
526,z969,10,52.65608148,1,Naftisol,Male,9,30
527,n671,10,51.03935653,0,Infubinol,Male,18,25
528,g107,10,53.43598668,0,Ketapril,Female,2,29
529,v835,10,48.96591797,0,Naftisol,Male,7,29
530,s710,10,43.68802627,0,Capomulin,Female,1,23
531,s121,10,49.04883479,1,Infubinol,Male,23,26
532,f436,10,48.14697758,2,Ceftamin,Female,3,25
533,r604,10,48.78655957,1,Naftisol,Male,7,30
534,l733,10,48.35495154,0,Ceftamin,Female,4,30
535,l509,10,46.75907363,0,Capomulin,Male,17,21
536,y260,10,48.08180678,1,Ketapril,Female,7,25
537,v766,10,50.36310988,1,Infubinol,Male,16,27
538,n304,10,47.20125097,0,Naftisol,Male,9,26
539,a457,10,49.78341894,0,Ketapril,Female,11,30
540,l558,10,46.78453491,0,Ceftamin,Female,13,30
541,o725,10,48.199452,0,Naftisol,Male,4,26
542,c819,10,46.65839527,1,Ketapril,Male,21,25
543,i738,10,43.42101414,0,Capomulin,Female,23,20
544,n923,10,48.79194986,1,Ketapril,Male,19,30
545,p189,10,51.58216168,2,Ketapril,Male,8,28
546,q119,10,51.23660557,0,Ketapril,Male,17,30
547,l661,10,49.68361956,0,Ceftamin,Male,18,26
548,f993,10,48.18537323,0,Naftisol,Male,21,28
549,m957,10,46.4145177,1,Capomulin,Female,3,19
550,h246,10,51.36886216,1,Ketapril,Male,13,30
551,w151,10,46.50147609,1,Ceftamin,Male,24,25
552,y769,10,48.01516261,1,Ceftamin,Female,6,27
553,y865,10,49.52273955,1,Ceftamin,Male,23,26
554,b559,10,48.03643202,0,Naftisol,Male,20,26
555,s141,10,47.23569156,0,Propriva,Male,8,25
556,l471,10,48.18206306,0,Ceftamin,Female,7,28
557,x930,10,50.26069441,0,Naftisol,Male,13,26
558,a685,10,47.66475264,0,Infubinol,Male,8,30
559,w193,10,48.34655046,0,Infubinol,Male,22,30
560,x822,10,48.98371668,1,Ceftamin,Male,3,29
561,k382,10,50.18096763,1,Ketapril,Male,22,29
562,v289,10,48.13348207,0,Ketapril,Female,3,26
563,b487,10,47.6643871,0,Ceftamin,Female,6,28
564,c895,10,49.77901542,0,Infubinol,Female,7,29
565,t724,10,50.70389965,0,Naftisol,Female,2,25
566,j119,10,46.42536551,0,Capomulin,Female,7,23
567,p438,10,50.51749789,0,Ceftamin,Female,11,26
568,r701,10,49.65459636,0,Naftisol,Male,21,25
569,m650,10,50.96899763,1,Ketapril,Male,15,27
570,i557,10,42.99207658,0,Capomulin,Female,1,24
571,v719,10,51.49705412,1,Infubinol,Female,17,30
572,c927,10,50.96529767,1,Propriva,Female,4,26
573,x264,10,47.88712765,1,Naftisol,Female,21,27
574,v991,10,52.6449057,1,Propriva,Female,10,30
575,l264,10,50.65958094,0,Ketapril,Female,15,30
576,o562,10,47.14767002,1,Propriva,Female,4,25
577,f345,10,47.22244619,0,Infubinol,Male,23,26
578,a818,10,49.79091948,0,Naftisol,Female,12,28
579,o287,10,47.36020084,1,Ceftamin,Male,2,28
580,m550,10,50.54803457,2,Ketapril,Male,18,28
581,l700,10,47.01356652,1,Naftisol,Female,18,27
582,g316,10,44.50204246,0,Capomulin,Female,22,22
583,u149,10,47.40483439,0,Ceftamin,Male,24,29
584,e476,10,49.43168536,0,Infubinol,Male,23,26
585,k210,10,49.37993231,0,Ceftamin,Male,15,28
586,l725,10,50.82391154,2,Naftisol,Female,8,26
587,a275,10,47.37134328,0,Ceftamin,Female,20,28
588,z795,10,48.0308039,0,Naftisol,Female,13,29
589,c580,10,47.57017382,1,Ketapril,Male,22,25
590,m133,10,47.50333803,0,Naftisol,Female,2,26
591,w422,10,49.93597024,0,Ketapril,Female,18,26
592,x581,10,49.06702788,1,Ceftamin,Female,19,28
593,v295,10,47.53946216,2,Naftisol,Female,2,27
594,a203,10,51.8524372,1,Infubinol,Female,20,23
595,y793,10,41.63001026,1,Capomulin,Male,17,17
596,q483,10,47.8391005,1,Ceftamin,Male,6,26
597,w584,10,47.29850794,0,Infubinol,Male,3,29
598,f966,10,35.6244027,0,Capomulin,Male,16,17
599,q132,10,47.95384377,2,Infubinol,Female,1,30
600,m269,10,50.86013006,0,Stelasyn,Female,22,28
601,w167,10,51.82640965,0,Placebo,Female,6,28
602,m601,10,36.82536664,1,Capomulin,Male,22,17
603,a492,10,48.43219661,0,Stelasyn,Male,20,25
604,x773,10,47.18920597,2,Placebo,Female,21,30
605,a401,10,47.7259374,1,Zoniferol,Female,8,25
606,i177,10,41.02092924,0,Ramicane,Male,10,18
607,s166,10,49.00012468,0,Placebo,Male,19,27
608,q582,10,47.01357514,1,Placebo,Male,5,30
609,w540,10,47.45906658,1,Stelasyn,Female,8,26
610,j365,10,48.34932028,0,Zoniferol,Male,24,28
611,v764,10,48.18900062,1,Stelasyn,Female,5,30
612,g791,10,40.17055848,0,Ramicane,Male,11,16
613,y478,10,52.28893409,1,Placebo,Female,3,25
614,l897,10,46.15473721,0,Capomulin,Male,17,19
615,o795,10,51.1237037,1,Placebo,Female,20,26
616,p136,10,50.90789028,0,Zoniferol,Female,5,28
617,t451,10,48.95791906,0,Stelasyn,Male,8,29
618,c282,10,48.17950638,0,Placebo,Male,12,27
619,s337,10,47.8944415,0,Zoniferol,Male,14,27
620,m546,10,43.74822357,0,Ramicane,Male,18,16
621,v989,10,52.61468889,1,Placebo,Male,4,25
622,a788,10,50.15972132,1,Zoniferol,Male,5,30
623,a644,10,46.38071258,0,Ramicane,Female,7,17
624,v409,10,50.64903842,1,Placebo,Female,16,25
625,r944,10,46.54429202,0,Capomulin,Male,12,25
626,a963,10,47.15052201,0,Stelasyn,Female,23,27
627,t994,10,52.6141635,1,Placebo,Male,14,30
628,c559,10,47.29326012,0,Zoniferol,Female,19,28
629,a520,10,36.42938781,0,Ramicane,Male,13,21
630,a444,10,44.51255951,0,Ramicane,Female,10,25
631,u196,10,46.42294306,1,Ramicane,Male,18,25
632,e227,10,51.34975705,1,Placebo,Male,1,30
633,f129,10,48.17971908,1,Zoniferol,Female,11,29
634,t718,10,46.39268805,1,Placebo,Female,10,30
635,n967,10,47.47172327,1,Zoniferol,Male,11,27
636,d251,10,42.43225791,1,Ramicane,Female,8,19
637,b313,10,48.31937218,1,Zoniferol,Male,12,27
638,f545,10,51.07251225,0,Zoniferol,Female,20,26
639,a411,10,40.75978762,1,Ramicane,Male,3,22
640,w914,10,43.23196275,0,Capomulin,Male,24,21
641,c302,10,48.53356704,1,Zoniferol,Female,10,29
642,j989,10,46.34383237,1,Ramicane,Male,8,19
643,k894,10,49.27287011,1,Zoniferol,Female,13,29
644,y449,10,46.37809248,0,Ramicane,Male,19,24
645,w150,10,39.95234669,0,Capomulin,Male,23,23
646,j913,10,44.49716216,0,Ramicane,Female,4,17
647,a897,10,47.97292708,1,Placebo,Male,7,28
648,k754,10,49.74611666,0,Zoniferol,Female,8,26
649,k403,10,35.01427146,1,Ramicane,Male,21,16
650,c757,10,49.21931669,0,Placebo,Male,9,27
651,g296,10,48.26950861,0,Zoniferol,Female,14,29
652,r921,10,42.71192694,0,Ramicane,Female,5,25
653,q633,10,49.00186559,0,Zoniferol,Male,12,25
654,t565,10,46.74900552,0,Capomulin,Female,20,17
655,r811,10,39.453903,0,Ramicane,Male,9,19
656,f234,10,47.90432375,0,Stelasyn,Male,14,28
657,x613,10,46.8181759,0,Zoniferol,Female,2,29
658,x402,10,46.88696249,1,Stelasyn,Male,21,28
659,o302,10,49.70144989,0,Placebo,Female,2,29
660,w575,10,50.13595547,1,Zoniferol,Female,16,28
661,c458,10,44.45437828,1,Ramicane,Female,23,20
662,i477,10,47.52063206,0,Placebo,Female,3,30
663,c758,10,46.28799223,0,Ramicane,Male,9,17
664,d164,10,47.47464468,1,Zoniferol,Male,21,28
665,q610,10,44.99148471,0,Ramicane,Female,18,21
666,s185,10,37.61494768,0,Capomulin,Female,3,17
667,q511,10,50.31164687,0,Zoniferol,Female,2,28
668,c264,10,49.02659196,0,Zoniferol,Female,11,27
669,k862,10,50.52355007,1,Stelasyn,Female,13,25
670,n763,10,46.81731526,1,Placebo,Female,16,25
671,h333,10,46.23384414,1,Stelasyn,Male,21,27
672,c402,10,50.56689412,1,Stelasyn,Female,1,27
673,q787,10,48.59386234,1,Placebo,Male,17,27
674,b128,10,43.2708519,0,Capomulin,Female,9,22
675,g867,10,48.18340167,0,Stelasyn,Female,9,25
676,b742,10,41.99922813,0,Capomulin,Male,7,21
677,e662,10,46.40908385,0,Ramicane,Male,8,24
678,i669,10,48.2816334,1,Placebo,Female,18,27
679,a699,10,47.86737569,0,Propriva,Female,5,28
680,q597,10,42.53798598,0,Ramicane,Male,20,25
681,j984,10,50.14108401,1,Stelasyn,Female,2,30
682,a262,10,49.59518129,1,Placebo,Female,17,29
683,w350,10,48.89955238,0,Propriva,Male,7,26
684,n364,10,40.3751382,0,Ramicane,Male,4,17
685,z578,10,42.95211843,0,Ramicane,Male,11,16
686,w697,10,48.925056,2,Stelasyn,Female,14,30
687,p310,10,48.66560668,1,Propriva,Male,6,26
688,k603,10,46.60694676,0,Propriva,Male,2,27
689,k510,10,47.6582498,1,Stelasyn,Female,8,27
690,r850,10,48.51509085,1,Placebo,Male,5,30
691,j235,10,48.01878792,1,Placebo,Male,6,30
692,i901,10,50.42124982,0,Stelasyn,Male,23,29
693,s152,10,52.1816442,2,Placebo,Female,4,30
694,o926,10,47.56567364,1,Zoniferol,Male,15,29
695,m331,10,47.64687735,1,Zoniferol,Female,19,26
696,x401,10,39.11389068,0,Capomulin,Female,16,15
697,l215,10,53.6539696,1,Propriva,Male,10,29
698,j246,10,46.4083613,0,Capomulin,Female,21,21
699,s508,10,34.8509979,0,Ramicane,Male,1,17
700,p981,10,47.54584585,0,Stelasyn,Male,20,29
701,i334,10,41.63124731,0,Ramicane,Female,8,20
702,r157,10,46.05960827,0,Capomulin,Male,22,25
703,t198,10,49.00080978,1,Propriva,Male,22,26
704,c766,10,49.50027098,1,Placebo,Female,13,26
705,q597,15,41.39566036,0,Ramicane,Male,20,25
706,l661,15,50.94754484,1,Ceftamin,Male,18,26
707,y769,15,52.76102114,2,Ceftamin,Female,6,27
708,s185,15,38.17723195,0,Capomulin,Female,3,17
709,d251,15,39.47278744,1,Ramicane,Female,8,19
710,y865,15,50.80651856,1,Ceftamin,Male,23,26
711,a685,15,48.95147442,0,Infubinol,Male,8,30
712,a262,15,53.82797367,2,Placebo,Female,17,29
713,b128,15,43.78489343,0,Capomulin,Female,9,22
714,r811,15,40.02229235,0,Ramicane,Male,9,19
715,z581,15,51.1963042,2,Infubinol,Female,24,25
716,c819,15,48.37099912,1,Ketapril,Male,21,25
717,r850,15,50.21860469,1,Placebo,Male,5,30
718,b559,15,51.37886229,0,Naftisol,Male,20,26
719,c264,15,53.66494165,1,Zoniferol,Female,11,27
720,o302,15,51.38148886,0,Placebo,Female,2,29
721,g288,15,42.17230079,1,Capomulin,Male,3,19
722,h246,15,56.18432701,1,Ketapril,Male,13,30
723,a251,15,50.53445603,1,Infubinol,Female,21,25
724,c757,15,51.532603,0,Placebo,Male,9,27
725,j989,15,41.12835439,1,Ramicane,Male,8,19
726,i334,15,39.15800115,0,Ramicane,Female,8,20
727,f993,15,49.10697473,1,Naftisol,Male,21,28
728,y449,15,44.18345092,0,Ramicane,Male,19,24
729,i738,15,37.97877782,0,Capomulin,Female,23,20
730,i386,15,51.73656088,2,Infubinol,Female,23,29
731,u327,15,50.65996437,0,Ketapril,Male,17,25
732,q787,15,49.21773243,2,Placebo,Male,17,27
733,n923,15,51.73870623,1,Ketapril,Male,19,30
734,c758,15,46.94094512,1,Ramicane,Male,9,17
735,c302,15,52.71663459,2,Zoniferol,Female,10,29
736,q132,15,49.15974862,3,Infubinol,Female,1,30
737,n671,15,54.21606411,0,Infubinol,Male,18,25
738,a897,15,52.34308525,2,Placebo,Male,7,28
739,k403,15,34.22399174,1,Ramicane,Male,21,16
740,b313,15,49.18838735,1,Zoniferol,Male,12,27
741,p189,15,53.6755415,2,Ketapril,Male,8,28
742,m957,15,39.80445341,1,Capomulin,Female,3,19
743,w151,15,47.24292865,1,Ceftamin,Male,24,25
744,v603,15,52.10294744,0,Ketapril,Female,22,30
745,j296,15,50.70127959,2,Ceftamin,Female,24,30
746,o331,15,54.78976769,1,Ketapril,Male,24,30
747,a644,15,46.91089166,0,Ramicane,Female,7,17
748,o809,15,49.68344504,1,Infubinol,Male,3,25
749,n763,15,47.79809961,1,Placebo,Female,16,25
750,w422,15,52.24630985,0,Ketapril,Female,18,26
751,o795,15,55.88633793,2,Placebo,Female,20,26
752,a203,15,52.7778705,1,Infubinol,Female,20,23
753,a520,15,35.590254,0,Ramicane,Male,13,21
754,y163,15,51.52306843,1,Infubinol,Female,17,27
755,r944,15,47.37342325,0,Capomulin,Male,12,25
756,m550,15,51.16606544,3,Ketapril,Male,18,28
757,f345,15,48.35223854,0,Infubinol,Male,23,26
758,s152,15,57.22498064,2,Placebo,Female,4,30
759,t994,15,53.45863887,1,Placebo,Male,14,30
760,c895,15,52.94946474,1,Infubinol,Female,7,29
761,y793,15,42.28366512,1,Capomulin,Male,17,17
762,u196,15,47.22717065,1,Ramicane,Male,18,25
763,c832,15,52.86453449,1,Ketapril,Male,18,29
764,s508,15,35.27690634,0,Ramicane,Male,1,17
765,m546,15,39.89743533,0,Ramicane,Male,18,16
766,a577,15,50.91500662,2,Infubinol,Female,6,25
767,m650,15,53.14955933,1,Ketapril,Male,15,27
768,v719,15,52.60910758,1,Infubinol,Female,17,30
769,c766,15,50.59663325,2,Placebo,Female,13,26
770,c282,15,49.26607873,0,Placebo,Male,12,27
771,j235,15,51.16113815,1,Placebo,Male,6,30
772,e227,15,52.83394196,1,Placebo,Male,1,30
773,c139,15,51.8332246,0,Infubinol,Male,11,28
774,n364,15,36.94027399,0,Ramicane,Male,4,17
775,v289,15,52.60216564,0,Ketapril,Female,3,26
776,r921,15,43.52726054,0,Ramicane,Female,5,25
777,y478,15,53.61040585,1,Placebo,Female,3,25
778,c580,15,51.991708,1,Ketapril,Male,22,25
779,t565,15,44.44094861,0,Capomulin,Female,20,17
780,g497,15,53.64616804,1,Ketapril,Male,19,28
781,t718,15,48.08512552,1,Placebo,Female,10,30
782,g107,15,58.13554485,0,Ketapril,Female,2,29
783,s121,15,50.82456031,2,Infubinol,Male,23,26
784,z578,15,38.68851607,0,Ramicane,Male,11,16
785,j246,15,43.31265415,0,Capomulin,Female,21,21
786,k804,15,50.47761824,0,Infubinol,Female,23,29
787,w167,15,53.90048909,0,Placebo,Female,6,28
788,d474,15,47.77793584,0,Ketapril,Male,18,27
789,y260,15,50.19615224,2,Ketapril,Female,7,25
790,v766,15,51.54243058,1,Infubinol,Male,16,27
791,w584,15,51.26543971,0,Infubinol,Male,3,29
792,x773,15,47.67123558,3,Placebo,Female,21,30
793,i669,15,48.8576007,1,Placebo,Female,18,27
794,i177,15,40.33093479,0,Ramicane,Male,10,18
795,r157,15,46.53920617,0,Capomulin,Male,22,25
796,k382,15,54.42916821,1,Ketapril,Male,22,29
797,k483,15,53.24445813,1,Infubinol,Female,20,30
798,q582,15,48.32264018,2,Placebo,Male,5,30
799,e476,15,54.04621267,0,Infubinol,Male,23,26
800,g791,15,40.67812852,0,Ramicane,Male,11,16
801,g316,15,45.21674299,0,Capomulin,Female,22,22
802,r554,15,35.46375763,2,Capomulin,Female,8,17
803,o973,15,49.87193582,0,Ketapril,Female,11,29
804,e662,15,43.55377339,0,Ramicane,Male,8,24
805,w193,15,49.38557373,0,Infubinol,Male,22,30
806,s141,15,49.23234538,1,Propriva,Male,8,25
807,n967,15,49.82500362,1,Zoniferol,Male,11,27
808,p438,15,52.19836818,0,Ceftamin,Female,11,26
809,b487,15,51.68325586,0,Ceftamin,Female,6,28
810,g570,15,52.6826954,1,Propriva,Male,16,29
811,j119,15,47.32298428,0,Capomulin,Female,7,23
812,j755,15,51.45397391,0,Naftisol,Male,23,27
813,v764,15,49.41262418,2,Stelasyn,Female,5,30
814,a818,15,51.22756565,0,Naftisol,Female,12,28
815,o287,15,48.67945261,1,Ceftamin,Male,2,28
816,w540,15,48.25014636,2,Stelasyn,Female,8,26
817,w350,15,50.8546323,1,Propriva,Male,7,26
818,q483,15,48.4684826,1,Ceftamin,Male,6,26
819,j365,15,49.58826336,0,Zoniferol,Male,24,28
820,j984,15,51.16675687,1,Stelasyn,Female,2,30
821,v295,15,50.66605391,2,Naftisol,Female,2,27
822,s187,15,52.08163225,1,Propriva,Male,22,25
823,a401,15,49.93472542,1,Zoniferol,Female,8,25
824,x581,15,49.74642744,2,Ceftamin,Female,19,28
825,a492,15,51.9852629,0,Stelasyn,Male,20,25
826,e291,15,49.3484262,1,Naftisol,Female,14,29
827,a275,15,49.73440359,0,Ceftamin,Female,20,28
828,f129,15,49.98830246,1,Zoniferol,Female,11,29
829,s565,15,54.32831664,1,Stelasyn,Female,3,29
830,x402,15,49.1199478,1,Stelasyn,Male,21,28
831,l725,15,54.24456268,2,Naftisol,Female,8,26
832,b742,15,39.52484301,0,Capomulin,Male,7,21
833,t724,15,55.58461724,0,Naftisol,Female,2,25
834,k210,15,51.07355752,0,Ceftamin,Male,15,28
835,p136,15,51.99141616,1,Zoniferol,Female,5,28
836,m269,15,55.9053436,0,Stelasyn,Female,22,28
837,q511,15,52.13308139,0,Zoniferol,Female,2,28
838,u946,15,47.67302921,1,Propriva,Male,5,30
839,x401,15,39.77625003,0,Capomulin,Female,16,15
840,g558,15,51.007258,0,Propriva,Male,8,29
841,t451,15,49.65278772,0,Stelasyn,Male,8,29
842,z795,15,49.36813189,1,Naftisol,Female,13,29
843,o562,15,51.50508551,1,Propriva,Female,4,25
844,s337,15,48.57151582,0,Zoniferol,Male,14,27
845,v991,15,54.588591,1,Propriva,Female,10,30
846,a788,15,52.53994926,1,Zoniferol,Male,5,30
847,a963,15,47.83685218,0,Stelasyn,Female,23,27
848,x264,15,50.00231403,1,Naftisol,Female,21,27
849,e584,15,48.43041053,1,Naftisol,Male,9,27
850,c927,15,53.26643087,1,Propriva,Female,4,26
851,p981,15,49.65770973,0,Stelasyn,Male,20,29
852,o926,15,48.25424839,1,Zoniferol,Male,15,29
853,i557,15,43.5298757,0,Capomulin,Female,1,24
854,c559,15,51.41490358,1,Zoniferol,Female,19,28
855,u364,15,47.21219992,2,Capomulin,Male,18,17
856,r701,15,52.48480443,0,Naftisol,Male,21,25
857,l897,15,44.0615214,0,Capomulin,Male,17,19
858,k510,15,49.6870517,1,Stelasyn,Female,8,27
859,e213,15,51.7916953,2,Naftisol,Male,8,27
860,h333,15,50.69260358,2,Stelasyn,Male,21,27
861,c402,15,52.23071944,1,Stelasyn,Female,1,27
862,m601,15,35.46461175,1,Capomulin,Male,22,17
863,m133,15,48.6652074,1,Naftisol,Female,2,26
864,m331,15,52.11008758,1,Zoniferol,Female,19,26
865,w914,15,43.68844893,0,Capomulin,Male,24,21
866,s710,15,41.84523536,0,Capomulin,Female,1,23
867,a699,15,49.53040137,0,Propriva,Female,5,28
868,g296,15,49.65324404,1,Zoniferol,Female,14,29
869,a411,15,41.48416885,1,Ramicane,Male,3,22
870,b879,15,51.61838657,1,Stelasyn,Female,4,26
871,p387,15,55.25138033,0,Stelasyn,Male,3,30
872,r604,15,51.07452073,1,Naftisol,Male,7,30
873,l509,15,47.48859931,1,Capomulin,Male,17,21
874,f436,15,48.72207785,2,Ceftamin,Female,3,25
875,u149,15,48.52237343,0,Ceftamin,Male,24,29
876,b759,15,51.58779906,0,Ceftamin,Female,12,25
877,g867,15,51.06041924,1,Stelasyn,Female,9,25
878,k603,15,48.7752855,0,Propriva,Male,2,27
879,i635,15,49.53689775,1,Propriva,Male,21,26
880,k862,15,54.47453362,1,Stelasyn,Female,13,25
881,k754,15,51.32356994,0,Zoniferol,Female,8,26
882,j913,15,45.25253427,0,Ramicane,Female,4,17
883,v835,15,50.54520646,1,Naftisol,Male,7,29
884,l490,15,50.52481268,1,Ceftamin,Male,24,26
885,k894,15,49.9877657,1,Zoniferol,Female,13,29
886,l733,15,49.28519504,0,Ceftamin,Female,4,30
887,f966,15,32.62300253,0,Capomulin,Male,16,17
888,f545,15,53.94554429,1,Zoniferol,Female,20,26
889,o725,15,50.01507902,1,Naftisol,Male,4,26
890,p310,15,49.77074144,1,Propriva,Male,6,26
891,r107,15,53.09033546,0,Propriva,Female,2,28
892,q633,15,50.5835573,1,Zoniferol,Male,12,25
893,x930,15,51.97376864,0,Naftisol,Male,13,26
894,f234,15,48.73519714,1,Stelasyn,Male,14,28
895,l700,15,49.04022529,1,Naftisol,Female,18,27
896,a444,15,43.00127957,0,Ramicane,Female,10,25
897,a366,15,55.26558163,0,Stelasyn,Female,16,29
898,x822,15,49.69466533,1,Ceftamin,Male,3,29
899,x613,15,48.0776464,0,Zoniferol,Female,2,29
900,l471,15,49.40687901,0,Ceftamin,Female,7,28
901,z969,15,54.71300452,2,Naftisol,Male,9,30
902,c458,15,45.10742313,2,Ramicane,Female,23,20
903,q610,15,45.88902756,0,Ramicane,Female,18,21
904,w697,15,52.65726519,2,Stelasyn,Female,14,30
905,v923,15,40.45798877,0,Capomulin,Female,19,21
906,w575,15,50.86745176,1,Zoniferol,Female,16,28
907,t198,15,49.7811808,2,Propriva,Male,22,26
908,n304,15,48.47797895,0,Naftisol,Male,9,26
909,i901,15,51.41964239,0,Stelasyn,Male,23,29
910,u364,20,40.34394812,2,Capomulin,Male,18,17
911,o926,20,51.82663825,2,Zoniferol,Male,15,29
912,q132,20,51.90902494,4,Infubinol,Female,1,30
913,a577,20,52.36518457,2,Infubinol,Female,6,25
914,i386,20,55.08772445,2,Infubinol,Female,23,29
915,t198,20,51.49073998,3,Propriva,Male,22,26
916,g558,20,55.09009691,1,Propriva,Male,8,29
917,c766,20,53.00686463,3,Placebo,Female,13,26
918,u946,20,49.11004966,1,Propriva,Male,5,30
919,p310,20,54.20518054,1,Propriva,Male,6,26
920,s152,20,62.35160945,2,Placebo,Female,4,30
921,z581,20,51.80794416,2,Infubinol,Female,24,25
922,f966,20,30.48598484,0,Capomulin,Male,16,17
923,o809,20,50.33655288,1,Infubinol,Male,3,25
924,s187,20,53.74473406,1,Propriva,Male,22,25
925,b128,20,42.731552,0,Capomulin,Female,9,22
926,i669,20,50.87369027,1,Placebo,Female,18,27
927,b742,20,37.95035546,0,Capomulin,Male,7,21
928,k804,20,54.48451945,0,Infubinol,Female,23,29
929,a699,20,50.71242334,0,Propriva,Female,5,28
930,i635,20,51.87706189,1,Propriva,Male,21,26
931,r107,20,55.2638584,0,Propriva,Female,2,28
932,r554,20,36.01558858,2,Capomulin,Female,8,17
933,w350,20,52.13232061,1,Propriva,Male,7,26
934,k603,20,50.18010935,0,Propriva,Male,2,27
935,a251,20,54.46259376,1,Infubinol,Female,21,25
936,k483,20,54.77896052,1,Infubinol,Female,20,30
937,a262,20,57.01331331,2,Placebo,Female,17,29
938,n763,20,49.25812581,1,Placebo,Female,16,25
939,q787,20,50.22993419,2,Placebo,Male,17,27
940,y163,20,54.57107607,1,Infubinol,Female,17,27
941,g570,20,54.64329541,1,Propriva,Male,16,29
942,s141,20,51.6216457,1,Propriva,Male,8,25
943,q511,20,52.67271205,0,Zoniferol,Female,2,28
944,s121,20,52.0050659,2,Infubinol,Male,23,26
945,t718,20,52.6367,2,Placebo,Female,10,30
946,k210,20,51.99761855,0,Ceftamin,Male,15,28
947,u149,20,50.37805789,0,Ceftamin,Male,24,29
948,n671,20,54.82252091,0,Infubinol,Male,18,25
949,o302,20,56.17761143,0,Placebo,Female,2,29
950,q633,20,53.28728681,1,Zoniferol,Male,12,25
951,x822,20,51.91490968,2,Ceftamin,Male,3,29
952,a685,20,49.49055902,0,Infubinol,Male,8,30
953,m957,20,38.90934919,1,Capomulin,Female,3,19
954,w575,20,55.5918155,1,Zoniferol,Female,16,28
955,l733,20,53.24431157,1,Ceftamin,Female,4,30
956,c757,20,52.81863401,1,Placebo,Male,9,27
957,w151,20,49.55426295,2,Ceftamin,Male,24,25
958,g296,20,51.4471183,2,Zoniferol,Female,14,29
959,s185,20,36.86687576,0,Capomulin,Female,3,17
960,a897,20,54.59570541,3,Placebo,Male,7,28
961,c264,20,54.5681957,1,Zoniferol,Female,11,27
962,f545,20,58.84118888,1,Zoniferol,Female,20,26
963,y769,20,55.02572434,2,Ceftamin,Female,6,27
964,l471,20,52.22832698,0,Ceftamin,Female,7,28
965,l661,20,52.61749003,1,Ceftamin,Male,18,26
966,b313,20,53.9796797,1,Zoniferol,Male,12,27
967,a401,20,52.20451136,2,Zoniferol,Female,8,25
968,b759,20,54.44303502,0,Ceftamin,Female,12,25
969,k754,20,52.69342276,1,Zoniferol,Female,8,26
970,c302,20,54.08090836,3,Zoniferol,Female,10,29
971,j296,20,54.00534209,3,Ceftamin,Female,24,30
972,l490,20,51.90544699,1,Ceftamin,Male,24,26
973,l509,20,48.07045162,2,Capomulin,Male,17,21
974,w914,20,41.10809233,0,Capomulin,Male,24,21
975,k894,20,50.98163936,1,Zoniferol,Female,13,29
976,e227,20,56.6075521,1,Placebo,Male,1,30
977,a275,20,50.51343652,1,Ceftamin,Female,20,28
978,x581,20,51.20796943,3,Ceftamin,Female,19,28
979,o562,20,53.61686347,1,Propriva,Female,4,25
980,c139,20,56.74200681,0,Infubinol,Male,11,28
981,c282,20,51.95057423,0,Placebo,Male,12,27
982,v719,20,54.04860769,1,Infubinol,Female,17,30
983,v991,20,57.74069459,2,Propriva,Female,10,30
984,s337,20,49.20205408,1,Zoniferol,Male,14,27
985,c927,20,55.48168922,1,Propriva,Female,4,26
986,t994,20,56.52795159,1,Placebo,Male,14,30
987,a788,20,54.06098332,1,Zoniferol,Male,5,30
988,c895,20,53.6768396,2,Infubinol,Female,7,29
989,l897,20,44.81309343,0,Capomulin,Male,17,19
990,f345,20,49.61338303,0,Infubinol,Male,23,26
991,c559,20,52.60436695,2,Zoniferol,Female,19,28
992,r944,20,43.22567119,1,Capomulin,Male,12,25
993,p438,20,52.90529861,0,Ceftamin,Female,11,26
994,o795,20,60.61005916,3,Placebo,Female,20,26
995,y865,20,52.36198241,1,Ceftamin,Male,23,26
996,x773,20,49.7397129,3,Placebo,Female,21,30
997,w193,20,50.00513807,0,Infubinol,Male,22,30
998,j365,20,50.93935278,1,Zoniferol,Male,24,28
999,q483,20,50.2398558,1,Ceftamin,Male,6,26
1000,j119,20,48.15820939,1,Capomulin,Female,7,23
1001,e476,20,55.24927296,0,Infubinol,Male,23,26
1002,w167,20,57.54815669,0,Placebo,Female,6,28
1003,q582,20,51.18597648,2,Placebo,Male,5,30
1004,p136,20,54.91379857,1,Zoniferol,Female,5,28
1005,w584,20,53.32350743,1,Infubinol,Male,3,29
1006,b487,20,53.42766344,0,Ceftamin,Female,6,28
1007,y478,20,56.84885016,1,Placebo,Female,3,25
